id,listing_id,contact_date
1,1244,1.5925E+12
2,1085,1.58247E+12
3,1288,1.57937E+12
4,1231,1.58516E+12
5,1215,1.58357E+12
6,1095,1.58667E+12
7,1233,1.58839E+12
8,1220,1.58407E+12
9,1188,1.58851E+12
10,1257,1.58141E+12
11,1263,1.5808E+12
12,1170,1.59176E+12
13,1017,1.58216E+12
14,1057,1.58538E+12
15,1035,1.59285E+12
16,1136,1.58961E+12
17,1037,1.58803E+12
18,1241,1.58485E+12
19,1110,1.58089E+12
20,1270,1.58263E+12
21,1118,1.58994E+12
22,1223,1.59055E+12
23,1191,1.58722E+12
24,1069,1.59127E+12
25,1185,1.58166E+12
26,1229,1.58752E+12
27,1083,1.58159E+12
28,1126,1.59067E+12
29,1244,1.58713E+12
30,1272,1.57986E+12
31,1132,1.5915E+12
32,1059,1.58257E+12
33,1068,1.58179E+12
34,1236,1.58923E+12
35,1086,1.58486E+12
36,1229,1.58063E+12
37,1084,1.5829E+12
38,1286,1.59188E+12
39,1056,1.59194E+12
40,1224,1.58366E+12
41,1065,1.58503E+12
42,1255,1.58435E+12
43,1228,1.58102E+12
44,1222,1.58241E+12
45,1030,1.58612E+12
46,1080,1.58627E+12
47,1200,1.58133E+12
48,1081,1.58097E+12
49,1228,1.58376E+12
50,1024,1.57978E+12
51,1175,1.58606E+12
52,1095,1.59039E+12
53,1091,1.58149E+12
54,1299,1.58658E+12
55,1135,1.58119E+12
56,1095,1.59168E+12
57,1293,1.58799E+12
58,1169,1.58999E+12
59,1233,1.58253E+12
60,1242,1.58386E+12
61,1285,1.58206E+12
62,1287,1.58416E+12
63,1200,1.5902E+12
64,1156,1.59056E+12
65,1031,1.58931E+12
66,1146,1.58772E+12
67,1271,1.58337E+12
68,1018,1.58275E+12
69,1134,1.58908E+12
70,1266,1.58763E+12
71,1289,1.58852E+12
72,1174,1.58335E+12
73,1216,1.58686E+12
74,1200,1.58762E+12
75,1198,1.58073E+12
76,1246,1.58434E+12
77,1256,1.58742E+12
78,1145,1.5915E+12
79,1273,1.59107E+12
80,1193,1.58925E+12
81,1020,1.58627E+12
82,1066,1.58914E+12
83,1028,1.59011E+12
84,1291,1.58614E+12
85,1118,1.57953E+12
86,1034,1.58794E+12
87,1262,1.5853E+12
88,1188,1.58978E+12
89,1267,1.59032E+12
90,1028,1.58628E+12
91,1006,1.58182E+12
92,1094,1.58434E+12
93,1246,1.59272E+12
94,1185,1.58282E+12
95,1179,1.5899E+12
96,1177,1.58751E+12
97,1076,1.58772E+12
98,1191,1.58646E+12
99,1114,1.58237E+12
100,1029,1.58989E+12
101,1123,1.58592E+12
102,1001,1.58698E+12
103,1004,1.58787E+12
104,1287,1.58716E+12
105,1240,1.58592E+12
106,1108,1.58428E+12
107,1254,1.59207E+12
108,1100,1.58336E+12
109,1012,1.58931E+12
110,1216,1.5781E+12
111,1155,1.58767E+12
112,1170,1.58243E+12
113,1249,1.5899E+12
114,1176,1.59019E+12
115,1028,1.59186E+12
116,1037,1.58516E+12
117,1191,1.59001E+12
118,1211,1.58494E+12
119,1157,1.5792E+12
120,1056,1.59215E+12
121,1287,1.58758E+12
122,1269,1.5794E+12
123,1012,1.58625E+12
124,1168,1.59256E+12
125,1235,1.59009E+12
126,1134,1.58977E+12
127,1279,1.57807E+12
128,1002,1.58138E+12
129,1120,1.58617E+12
130,1288,1.58837E+12
131,1015,1.57985E+12
